cruise,lon,lat
EN587,-89.0675,30.3319
EN587,-89.0367,30.2955
EN587,-89.0061,30.2591
EN587,-88.9953,30.2152
EN587,-88.9793,30.1779
EN587,-88.9793,30.1779
EN587,-88.9454,30.1461
EN587,-88.8935,30.1337
EN587,-88.8386,30.1296
EN587,-88.7837,30.126
EN587,-88.7297,30.1231
EN587,-88.7296,30.1231
EN587,-88.6767,30.1234
EN587,-88.6236,30.1262
EN587,-88.5704,30.1262
EN587,-88.5174,30.121
EN587,-88.4795,30.0882
EN587,-88.4795,30.0882
EN587,-88.4062,30.0197
EN587,-88.3693,29.9851
EN587,-88.3329,29.9514
EN587,-88.297,29.9178
EN587,-88.297,29.9178
EN587,-88.2612,29.8839
EN587,-88.224,29.8511
EN587,-88.1869,29.8179
EN587,-88.1508,29.7846
EN587,-88.1508,29.7846
EN587,-88.1156,29.7504
EN587,-88.1156,29.7504
EN587,-88.0796,29.716
EN587,-88.0796,29.716
EN587,-88.0433,29.6822
EN587,-88.0072,29.6476
EN587,-87.9711,29.6136
EN587,-87.9711,29.6136
EN587,-87.9343,29.5798
EN587,-87.8971,29.546
EN587,-87.8596,29.5122
EN587,-87.8221,29.4782
EN587,-87.806,29.4348
EN587,-87.7704,29.399
EN587,-87.7704,29.399
EN587,-87.7346,29.3627
EN587,-87.6983,29.3265
EN587,-87.6596,29.2906
EN587,-87.6194,29.2551
EN587,-87.6193,29.2551
EN587,-87.5793,29.2191
EN587,-87.5415,29.181
EN587,-87.5047,29.1416
EN587,-87.4689,29.102
EN587,-87.434,29.0627
EN587,-87.4339,29.0626
EN587,-87.4339,29.0626
EN587,-87.4004,29.0228
EN587,-87.3639,28.9852
EN587,-87.3281,28.9481
EN587,-87.2925,28.9111
EN587,-87.2569,28.8735
EN587,-87.2219,28.8356
EN587,-87.187,28.7978
EN587,-87.1531,28.759
EN587,-87.1188,28.7204
EN587,-87.0848,28.6816
EN587,-87.0848,28.6816
EN587,-87.0848,28.6816
EN587,-87.0511,28.6426
EN587,-86.9845,28.5643
EN587,-86.5293,28.0232
EN587,-86.5293,28.0232
EN587,-86.4946,27.9873
EN587,-86.4601,27.9512
EN587,-86.4601,27.9512
EN587,-86.4293,27.9127
EN587,-86.399,27.8734
EN587,-86.3696,27.8341
EN587,-86.3396,27.7952
EN587,-86.3067,27.7571
EN587,-86.3067,27.7571
EN587,-86.2738,27.7189
EN587,-86.2415,27.6807
EN587,-86.2089,27.6429
EN587,-86.1755,27.6063
EN587,-86.1402,27.5708
EN587,-86.1016,27.5393
EN587,-86.0682,27.502
EN587,-86.0349,27.4645
EN587,-86.0011,27.4273
EN587,-86.0011,27.4273
EN587,-85.9675,27.3903
EN587,-85.9341,27.3534
EN587,-85.9025,27.3162
EN587,-85.8713,27.2798
EN587,-85.7743,27.1748
EN587,-85.7406,27.1401
EN587,-85.7071,27.1045
EN587,-85.6737,27.07
EN587,-85.6399,27.0354
EN587,-85.6065,27.0014
EN587,-85.5731,26.9665
EN587,-85.5405,26.931
EN587,-85.5076,26.8956
EN587,-85.475,26.8595
EN587,-85.443,26.8216
EN587,-85.4117,26.7842
EN587,-85.382,26.7476
EN587,-85.3526,26.7115
EN587,-85.3526,26.7114
EN587,-85.3232,26.6747
EN587,-85.2928,26.6388
EN587,-85.2616,26.6045
EN587,-85.2303,26.5697
EN587,-85.1998,26.5339
EN587,-85.1998,26.5339
EN587,-85.1998,26.5339
EN587,-85.1692,26.4988
EN587,-85.14,26.463
EN587,-85.1082,26.4281
EN587,-85.0761,26.3944
EN587,-85.0437,26.361
EN587,-85.0437,26.361
EN587,-85.0117,26.328
EN587,-84.9798,26.2942
EN587,-84.9486,26.2603
EN587,-84.9171,26.227
EN587,-84.8855,26.1934
EN587,-84.8855,26.1934
EN587,-84.8539,26.1592
EN587,-84.8232,26.1246
EN587,-84.7928,26.0894
EN587,-84.7623,26.0545
EN587,-84.7316,26.0191
EN587,-84.7316,26.0191
EN587,-84.701,25.9827
EN587,-84.6701,25.9458
EN587,-84.64,25.9089
EN587,-84.6082,25.8729
EN587,-84.5772,25.8366
EN587,-84.5468,25.8
EN587,-84.5161,25.7634
EN587,-84.486,25.7267
EN587,-84.4564,25.69
EN587,-84.4564,25.69
EN587,-84.4268,25.6527
EN587,-84.4267,25.6527
EN587,-84.3973,25.6151
EN587,-84.3671,25.5784
EN587,-84.3363,25.5421
EN587,-84.3034,25.5075
EN587,-84.3035,25.5076
EN587,-84.3034,25.5075
EN587,-84.2713,25.4725
EN587,-84.239,25.4366
EN587,-84.2057,25.4013
EN587,-84.1734,25.3659
EN587,-84.1411,25.3302
EN587,-84.1095,25.294
EN587,-84.0772,25.2576
EN587,-84.0451,25.2211
EN587,-84.0131,25.1849
EN587,-83.9797,25.1495
EN587,-83.9797,25.1495
EN587,-83.9456,25.1142
EN587,-83.9119,25.0787
EN587,-83.8782,25.0434
EN587,-83.8449,25.0077
EN587,-83.8156,24.969
EN587,-83.8156,24.969
EN587,-83.7859,24.9312
EN587,-83.7571,24.8934
EN587,-83.7274,24.8562
EN587,-83.6978,24.819
EN587,-83.668,24.7818
EN587,-83.6374,24.7445
EN587,-83.6063,24.7067
EN587,-83.5757,24.6683
EN587,-83.5452,24.6297
EN587,-83.5151,24.5902
EN587,-83.5151,24.5902
EN587,-83.4943,24.5429
EN587,-83.469,24.4941
EN587,-83.4358,24.4488
EN587,-83.3919,24.4113
EN587,-83.3919,24.4113
EN587,-83.3919,24.4113
EN587,-83.3478,24.3734
EN587,-83.3033,24.3346
EN587,-83.2592,24.2961
EN587,-83.2147,24.2562
EN587,-83.1666,24.2218
EN587,-83.1665,24.2218
EN587,-83.1664,24.2218
EN587,-83.1051,24.222
EN587,-83.0444,24.2236
EN587,-82.9837,24.2241
EN587,-82.9232,24.2236
EN587,-82.8627,24.2223
EN587,-82.8023,24.2215
EN587,-82.7432,24.221
EN587,-82.6833,24.2213
EN587,-82.622,24.2205
EN587,-82.5602,24.2201
EN587,-82.5602,24.2201
EN587,-82.4994,24.2215
EN587,-82.4401,24.2232
EN587,-82.3807,24.2252
EN587,-82.321,24.2274
EN587,-82.2618,24.2297
EN587,-82.2618,24.2297
EN587,-82.2023,24.2316
EN587,-82.2023,24.2316
EN587,-82.142,24.2331
EN587,-82.0813,24.2347
EN587,-82.0195,24.2374
EN587,-81.957,24.2398
EN587,-81.8947,24.2397
EN587,-81.8327,24.2375
EN587,-81.7701,24.2318
EN587,-81.7085,24.2349
EN587,-81.6485,24.2515
EN587,-81.5896,24.2695
EN587,-81.5324,24.2897
EN587,-81.474,24.3085
EN587,-81.4176,24.3268
EN587,-81.4175,24.3268
EN587,-81.4174,24.3269
EN587,-81.3599,24.3453
EN587,-81.3026,24.3634
EN587,-81.243,24.3823
EN587,-81.1824,24.4026
EN587,-81.1222,24.4203
EN587,-81.1221,24.4203
EN587,-81.0612,24.4367
EN587,-81.002,24.4527
EN587,-80.9467,24.4683
EN587,-80.8921,24.4847
EN587,-80.8374,24.5028
EN587,-80.8374,24.5028
EN587,-80.7818,24.5207
EN587,-80.7248,24.5358
EN587,-80.6769,24.5689
EN587,-80.6305,24.6048
EN587,-80.5848,24.6397
EN587,-80.5418,24.6732
EN587,-80.4982,24.7064
EN587,-80.4547,24.7411
EN587,-80.4115,24.7776
EN587,-80.3682,24.8158
EN587,-80.3242,24.8533
EN587,-80.2794,24.889
EN587,-80.2794,24.889
EN587,-80.2794,24.889
EN587,-80.2794,24.889
EN587,-80.2447,24.9321
EN587,-80.2093,24.9754
EN587,-80.1747,25.0206
EN587,-80.1747,25.0206
EN587,-80.1407,25.0678
EN587,-80.1047,25.1144
EN587,-80.0686,25.1619
EN587,-80.0348,25.2111
EN587,-80.0348,25.2111
EN587,-80.0129,25.2666
EN587,-79.9892,25.322
EN587,-79.9652,25.3781
EN587,-79.9391,25.433
EN587,-79.9174,25.489
EN587,-79.9174,25.4891
EN587,-79.9058,25.5491
EN587,-79.8952,25.609
EN587,-79.8851,25.6694
EN587,-79.8851,25.6694
EN587,-79.8851,25.6694
EN587,-79.8851,25.6694
EN587,-79.8755,25.7291
EN587,-79.8669,25.7888
EN587,-79.8571,25.8498
EN587,-79.8479,25.9122
EN587,-79.8379,25.9745
EN587,-79.8278,26.0366
EN587,-79.8169,26.0983
EN587,-79.8169,26.0984
EN587,-79.8169,26.0984
EN587,-79.8053,26.1603
EN587,-79.7941,26.2221
EN587,-79.7828,26.2838
EN587,-79.7772,26.3463
EN587,-79.7828,26.4069
EN587,-79.7828,26.4069
EN587,-79.8206,26.4408
EN587,-79.803,26.502
EN587,-79.7608,26.6236
EN587,-79.7608,26.6237
EN587,-79.7608,26.6237
EN587,-79.7434,26.6851
EN587,-79.74,26.7486
EN587,-79.738,26.8123
EN587,-79.7371,26.877
EN587,-79.729,26.9404
EN587,-79.7183,27.0044
EN587,-79.7116,27.0686
EN587,-79.7117,27.1332
EN587,-79.7113,27.198
EN587,-79.7094,27.2626
EN587,-79.7094,27.2626
EN587,-79.7067,27.3275
EN587,-79.703,27.3922
EN587,-79.6993,27.4569
EN587,-79.6941,27.5212
EN587,-79.6899,27.5847
EN587,-79.6899,27.5847
EN587,-79.6864,27.648
EN587,-79.6828,27.7112
EN587,-79.678,27.7748
EN587,-79.6697,27.8378
EN587,-79.6633,27.9003
EN587,-79.6598,27.9629
EN587,-79.6555,28.0253
EN587,-79.6515,28.0872
EN587,-79.6481,28.1491
EN587,-79.6464,28.2107
EN587,-79.6464,28.2107
EN587,-79.6447,28.2718
EN587,-79.6441,28.3324
EN587,-79.6421,28.3929
EN587,-79.6376,28.4531
EN587,-79.6312,28.5132
EN587,-79.6312,28.5132
EN587,-79.6182,28.6333
EN587,-79.6159,28.6935
EN587,-79.6155,28.7538
EN587,-79.6155,28.814
EN587,-79.6155,28.814
EN587,-79.6177,28.8741
EN587,-79.6182,28.9345
EN587,-79.618,28.9944
EN587,-79.6201,29.0541
EN587,-79.6201,29.0541
EN587,-79.6224,29.1138
EN587,-79.6224,29.1138
EN587,-79.623,29.1732
EN587,-79.6231,29.2328
EN587,-79.6236,29.2911
EN587,-79.6248,29.3497
EN587,-79.6248,29.3498
EN587,-79.6248,29.3498
EN587,-79.6282,29.4081
EN587,-79.6309,29.4659
EN587,-79.6338,29.5235
EN587,-79.6362,29.5809
EN587,-79.639,29.6383
EN587,-79.6418,29.6956
EN587,-79.645,29.7527
EN587,-79.6484,29.8096
EN587,-79.6487,29.8662
EN587,-79.649,29.9223
EN587,-79.6501,29.9785
EN587,-79.6501,29.9785
EN587,-79.6507,30.0348
EN587,-79.6507,30.0348
EN587,-79.6507,30.0348
EN587,-79.6498,30.0914
EN587,-79.6476,30.1481
EN587,-79.644,30.2045
EN587,-79.6398,30.2612
EN587,-79.6398,30.2612
EN587,-79.6346,30.3176
EN587,-79.6228,30.3726
EN587,-79.5971,30.4238
EN587,-79.5706,30.4744
EN587,-79.543,30.5243
EN587,-79.5169,30.5755
EN587,-79.4911,30.6267
EN587,-79.4647,30.6783
EN587,-79.4381,30.7309
EN587,-79.4107,30.783
EN587,-79.3834,30.8364
EN587,-79.3558,30.8899
EN587,-79.3255,30.9432
EN587,-79.293,30.9965
EN587,-79.2606,31.0499
EN587,-79.2606,31.0499
EN587,-79.2276,31.1031
EN587,-79.1943,31.156
EN587,-79.1595,31.2093
EN587,-79.1273,31.2622
EN587,-79.1273,31.2622
EN587,-79.1006,31.3176
EN587,-79.0743,31.3724
EN587,-79.0254,31.4143
EN587,-78.9762,31.4547
EN587,-78.927,31.4943
EN587,-78.8775,31.5332
EN587,-78.828,31.5718
EN587,-78.7785,31.6105
EN587,-78.7295,31.6478
EN587,-78.6795,31.6847
EN587,-78.6794,31.6847
EN587,-78.6276,31.7199
EN587,-78.5754,31.7541
EN587,-78.5235,31.7881
EN587,-78.4716,31.8219
EN587,-78.4202,31.8557
