cruise,lon,lat
EN655,-70.8829,39.9441
EN655,-70.8834,39.9911
EN655,-70.8829,40.0381
EN655,-70.8837,40.0843
EN655,-70.8839,40.0975
EN655,-70.8769,40.1018
EN655,-70.8703,40.1003
EN655,-70.879,40.1167
EN655,-70.8826,40.1271
EN655,-70.8908,40.1301
EN655,-70.8837,40.1492
EN655,-70.8831,40.169
EN655,-70.8834,40.1888
EN655,-70.8816,40.206
EN655,-70.8819,40.2209
EN655,-70.8831,40.2313
EN655,-70.8831,40.2587
EN655,-70.8827,40.3016
EN655,-70.8824,40.3449
EN655,-70.8765,40.3704
EN655,-70.8676,40.3659
EN655,-70.8707,40.361
EN655,-70.865,40.3548
EN655,-70.8827,40.3743
EN655,-70.882,40.4106
EN655,-70.8828,40.4474
EN655,-70.8832,40.4885
EN655,-70.8836,40.532
EN655,-70.8835,40.5758
EN655,-70.8839,40.6199
EN655,-70.8833,40.6639
EN655,-70.8832,40.7077
EN655,-70.883,40.7513
EN655,-70.8838,40.7949
EN655,-70.8842,40.8379
EN655,-70.8833,40.8806
EN655,-70.8828,40.9237
EN655,-70.8826,40.9676
EN655,-70.8837,41.0119
EN655,-70.884,41.056
EN655,-70.8832,41.1005
EN655,-70.8822,41.1458
EN655,-70.8805,41.1915
EN655,-70.9172,41.2191
EN655,-70.9662,41.2397
EN655,-71.0053,41.2562
EN655,-71.0503,41.2758
EN655,-71.0952,41.2963
EN655,-71.1408,41.3174
EN655,-71.1873,41.3389
EN655,-71.2358,41.3593
EN655,-71.286,41.3777
EN655,-71.303,41.3983
EN655,-71.3401,41.4101
EN655,-71.3917,41.4281
EN655,-71.4105,41.4523
EN655,-71.4076,41.4828
EN655,-71.4159,41.498
EN655,-71.419,41.4934
EN656,-71.4092,41.4682
EN656,-71.4139,41.4269
EN656,-71.4211,41.3821
EN656,-71.4052,41.3381
EN656,-71.3852,41.2939
EN656,-71.3645,41.2504
EN656,-71.3449,41.2064
EN656,-71.3377,41.161
EN656,-71.3348,41.1149
EN656,-71.3127,41.0709
EN656,-71.2918,41.0321
EN656,-71.2737,40.9936
EN656,-71.253,40.9498
EN656,-71.2305,40.9069
EN656,-71.2105,40.864
EN656,-71.19,40.8212
EN656,-71.1709,40.7773
EN656,-71.151,40.7328
EN656,-71.1309,40.6884
EN656,-71.1105,40.6442
EN656,-71.0902,40.5998
EN656,-71.0702,40.5556
EN656,-71.0468,40.5038
EN656,-71.0237,40.4583
EN656,-71.0032,40.413
EN656,-70.9838,40.3679
EN656,-70.9642,40.3229
EN656,-70.9473,40.2774
EN656,-70.9325,40.2321
EN656,-70.9194,40.1861
EN656,-70.9078,40.1408
EN656,-70.8934,40.0962
EN656,-70.8787,40.0516
EN656,-70.862,40.0089
EN656,-70.8443,39.9666
EN656,-70.8284,39.9237
EN656,-70.8108,39.8808
EN656,-70.7958,39.8459
EN656,-70.7916,39.8285
EN656,-70.7977,39.8292
EN656,-70.81,39.8315
EN656,-70.8168,39.8314
EN656,-70.824,39.8329
EN656,-70.8356,39.8356
EN656,-70.8557,39.8354
EN656,-70.9004,39.8267
EN656,-70.8799,39.7884
EN656,-70.8763,39.805
EN656,-70.8903,39.8399
EN656,-70.9053,39.8745
EN656,-70.9207,39.9107
EN656,-70.9346,39.9481
EN656,-70.9463,39.9857
EN656,-70.9579,40.0228
EN656,-70.9701,40.0597
EN656,-70.9837,40.0961
EN656,-70.9959,40.1323
EN656,-71.0062,40.1692
EN656,-71.0156,40.2077
EN656,-71.0242,40.2468
EN656,-71.0316,40.2856
EN656,-71.0348,40.3255
EN656,-71.0366,40.3653
EN656,-71.0494,40.4029
EN656,-71.0637,40.441
EN656,-71.0733,40.4795
EN656,-71.0905,40.5171
EN656,-71.1081,40.555
EN656,-71.1243,40.5922
EN656,-71.1414,40.6293
EN656,-71.1584,40.6666
EN656,-71.1751,40.7039
EN656,-71.1903,40.7412
EN656,-71.2068,40.7789
EN656,-71.2231,40.8169
EN656,-71.2371,40.8554
EN656,-71.2495,40.8934
EN656,-71.2612,40.9316
EN656,-71.2746,40.9694
EN656,-71.2916,41.0069
EN656,-71.3029,41.0459
EN656,-71.3145,41.0849
EN656,-71.3291,41.1229
EN656,-71.3392,41.1621
EN656,-71.3489,41.2014
EN656,-71.3611,41.2406
EN656,-71.3744,41.2797
EN656,-71.3866,41.3159
EN656,-71.3974,41.3491
EN656,-71.4044,41.3797
EN656,-71.4095,41.4093
EN656,-71.414,41.4162
EN656,-71.4136,41.4361
EN656,-71.4105,41.4635
EN656,-71.4114,41.4913
EN656,-71.419,41.4944
EN657,-71.4076,41.4796
EN657,-71.4125,41.4534
EN657,-71.4114,41.4214
EN657,-71.4018,41.4152
EN657,-71.3615,41.4008
EN657,-71.323,41.3848
EN657,-71.2851,41.3679
EN657,-71.2478,41.3517
EN657,-71.2102,41.3366
EN657,-71.174,41.322
EN657,-71.1379,41.3075
EN657,-71.1021,41.2935
EN657,-71.1021,41.2935
EN657,-71.0686,41.2804
EN657,-71.0327,41.2662
EN657,-70.9971,41.2525
EN657,-70.9621,41.239
EN657,-70.9286,41.2231
EN657,-70.8939,41.2083
EN657,-70.8811,41.2035
EN657,-70.8718,41.2032
EN657,-70.8658,41.2033
EN657,-70.8592,41.2035
EN657,-70.8638,41.1919
EN657,-70.8567,41.1868
EN657,-70.8673,41.1762
EN657,-70.8772,41.1639
EN657,-70.8812,41.1453
EN657,-70.8822,41.1263
EN657,-70.8824,41.1075
EN657,-70.8819,41.0884
EN657,-70.8817,41.0691
EN657,-70.8812,41.0495
EN657,-70.8803,41.0289
