cruise,lon,lat
EN695,-70.8012,41.3862
EN695,-70.8281,41.3868
EN695,-70.8496,41.3868
EN695,-70.8709,41.3872
EN695,-70.8898,41.384
EN695,-70.9134,41.3663
EN695,-70.9447,41.3384
EN695,-70.9601,41.3053
EN695,-70.9716,41.2727
EN695,-70.9702,41.2449
EN695,-70.9693,41.2206
EN695,-70.9684,41.1961
EN695,-70.9631,41.1694
EN695,-70.9413,41.1423
EN695,-70.9171,41.112
EN695,-70.8926,41.082
EN695,-70.8857,41.0479
EN695,-70.888,41.0127
EN695,-70.8899,40.9805
EN695,-70.8896,40.9498
EN695,-70.8881,40.9185
EN695,-70.8866,40.8873
EN695,-70.8852,40.8577
EN695,-70.8866,40.8462
EN695,-70.8866,40.8553
EN695,-70.8789,40.8464
EN695,-70.8593,40.8139
EN695,-70.8382,40.7822
EN695,-70.8158,40.7514
EN695,-70.7914,40.7208
EN695,-70.7755,40.6969
EN695,-70.8014,40.6933
EN695,-70.8465,40.6949
EN695,-70.8906,40.6954
EN695,-70.9348,40.6952
EN695,-70.9782,40.6944
EN695,-70.9961,40.7008
EN695,-70.9682,40.702
EN695,-70.9297,40.6992
EN695,-70.8913,40.6968
EN695,-70.8867,40.7109
EN695,-70.8863,40.732
EN695,-70.8848,40.7516
EN695,-70.8836,40.7723
EN695,-70.8835,40.7917
EN695,-70.8833,40.8115
EN695,-70.8832,40.8269
EN695,-70.883,40.8481
EN695,-70.8828,40.8697
EN695,-70.8814,40.8845
EN695,-70.8822,40.9055
EN695,-70.8833,40.9261
EN695,-70.8845,40.9469
EN695,-70.8858,40.9671
EN695,-70.8872,40.9878
EN695,-70.8887,41.0086
EN695,-70.8845,41.0277
EN695,-70.8834,41.0419
EN695,-70.8851,41.0548
EN695,-70.886,41.0668
EN695,-70.8864,41.0805
EN695,-70.8869,41.0948
EN695,-70.8874,41.1083
EN695,-70.8867,41.1218
EN695,-70.8856,41.1354
EN695,-70.8843,41.15
EN695,-70.8836,41.1653
EN695,-70.8825,41.1802
EN695,-70.8835,41.1942
EN695,-70.8778,41.2018
EN695,-70.8371,41.1993
EN695,-70.7895,41.196
EN695,-70.7477,41.2101
EN695,-70.7099,41.2313
EN695,-70.6719,41.2529
EN695,-70.6359,41.276
EN695,-70.6001,41.2989
EN695,-70.5781,41.3079
EN695,-70.5872,41.3048
EN695,-70.5875,41.2995
EN695,-70.5991,41.2943
EN695,-70.6121,41.2855
